pit,pit_code,pit_count,pit_importance,pit_name
http://oops.linkeddata.es/data/b056d009-f62d-4392-a79a-4d5f22aec214,P04,1,Minor,Creating unconnected ontology elements
http://oops.linkeddata.es/data/33a66168-f3df-4b14-8120-70fed1a39479,P05,1,Critical,Defining wrong inverse relationships
http://oops.linkeddata.es/data/b2a32ba8-1c14-45c1-ad9b-58e64b09a254,P08,113,Minor,Missing annotations
http://oops.linkeddata.es/data/0786c0b4-e9a1-4bd6-8034-1147b148d886,P11,19,Important,Missing domain or range in properties
http://oops.linkeddata.es/data/9904b977-0577-457f-b332-351463e44308,P13,67,Minor,Inverse relationships not explicitly declared
http://oops.linkeddata.es/data/2e88b951-a621-4d5a-9968-47086cd2677e,P20,1,Minor,Misusing ontology annotations
http://oops.linkeddata.es/data/3bc2bd50-b7fc-4896-9a88-aa0bc3e69547,P22,1,Minor,Using different naming conventions in the ontology
http://oops.linkeddata.es/data/a33d466b-68e1-497f-a90e-017188c1435f,P30,2,Important,Equivalent classes not explicitly declared
